name,qualification,speciality,experience,languages,location,opd_timings,expertise,services,profile_url,hospital
Dr. Sagari Gullapalli,"MD, DM Neurology, PDF Epilepsy",Consultant Neurologist & Epileptology Specialist (Pediatric & Adult),14 Yrs,"Hindi, English, Telugu, Tamil, Malayalam",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Pre-Surgical Evaluation and Planning for Surgery in Epilepsy and Post Op Management, Reporting Video EEGs and Prolonged Video EEGs for Presurgical Patients, Multimodality Screening for the Epileptogen…","All types of stroke (including thrombolysis), Headaches, Neuropathies, Neuromuscular Disorders, Muscle Diseases, Neuroimmunology",https://www.yashodahospitals.com/doctor/hitec-city/neurology/dr-sagari-gullapalli/,Yashoda Hospital Hitec City
Dr. Sai Thirumal Rao Veerla,"MS(Ortho)Fellowship In Arthroscopy & Sports Medicine (Cardiff, UK),Fellowship in Arthroplasty (Germany),Dip. In Sports Medicine (IOC)",Senoir Consultant Specializing in Arthroscopy & Joint Replacement,12 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 04:00 PM Evening OPD: MON – SAT : 04:00 PM – 07:00 PM,"Arthroscopic Surgeries (Knee & Shoulder), Knee and Hip Replacement, Minimally Invasive Trauma , Sports Medicine and Orthopaedic Rehabilitation, Cartilage Injuries and Regenerative Medicine","Minimally Invasive Trauma, Arthroscopy Surgeries for Shoulder – Rotator Cuff Injuries, Labral Injuries & Instability (Dislocations), Arthroscopy Surgeries for Knee – Ligament injuries (ACL, PCL,MPFL, …",https://www.yashodahospitals.com/doctor/hitec-city/orthopaedics/dr-sai-thirumal-rao-veerla/,Yashoda Hospital Hitec City
Dr. Santosh Enaganti,"MD, MRCP, CCT (Gastro) (UK), FRCP (London)Advanced Endoscopy Fellowship, UKLiver Transplantation fellow, UKFormerly NHS UK Consultant","Sr. Consultant Medical Gastroenterologist, Hepatologist & Third Space Endoscopist, Clinical Director.",27 Yrs,"Telugu, English & Hindi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Level 4 Colonoscopist- JAG (UK), EMR/ESD Techniques for Endoscopic Removal of Large Polyps and Early Malignant Lesions, Complex ERCP/Lithotripsy Procedures, Endoscopic Ultrasound-Guided Fine Needle As…","Comprehensive GI and Hepatology Services, Management of Luminal Gastroenterology problems like Ulcers/Strictures, Dyspepsia, Reflux, IBS, GI Bleeding, Management of IBD (Adults and Paediatrics), Manag…",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-santosh-enaganti/,Yashoda Hospital Hitec City
Dr. Sariki Veda Sai Maheswari,"MBBS, MS, FCRS",Cataract Phaco & Lasik SurgeonConsultant Ophthalmologist.,2 Yrs,"English, Hindi, Telugu, Marathi, Kanada",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Advances of Phacoemulsification, Management of Retinal Diseases, Corneal Refractive Surgeries, Pediatric Ophthalmology","Cataract Evaluation, Cataract Surgery, Glaucoma Treatment, Refractive Procedures, Medical Retina Treatment, General Ocular Evaluation",https://www.yashodahospitals.com/doctor/hitec-city/ophthalmology/dr-sariki-veda-sai-maheswari/,Yashoda Hospital Hitec City
Dr. Satyesh Chowdary Muppavarapu,"MBBS, MD Pediatrics (JSSAHER, Mysuru) DM Pediatric Neurology (AIMS, Kochi)",Consultant Paediatric Neurologist,6 Yrs,"English, Telugu, Hindi, Kannada, Malayalam",Hitec City,Day time OPD: MON-SAT : 10.30 AM to 05.30 PM,"Neuromuscular Disorders, Paediatric Movement Disorders, Paediatric Epilepsy, Neonatal Neurology, Dietary Therapy in Complex Epilepsy, Paediatric Demyelination","Neuromuscular Disorders, Paediatric Movement Disorders, Paediatric Epilepsy, Neonatal Neurology, Dietary Therapy in Complex Epilepsy, Paediatric Demyelination",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-neurology/dr-satyesh-chowdary-muppavarapu/,Yashoda Hospital Hitec City
Dr. Shatabdi Giri,"MBBS, MD Paediatrics (Gold Medalist), DrNB Paediatric Cardiology",Consultant Pediatric Cardiologist,2 Yrs,"English, Hindi, Oriya",Hitec City,Day time OPD: MON-SAT  : 9.00 am – 5:00 pm,"Pediatric Echocardiography, Pediatric Pulmonary Hypertension","Comprehensive Cardiac Evaluation, Detailed clinical assessment including history, physical examination, and risk stratification., Diagnostic Cardiology , Pediatric Echocardiography (2D, 3D, Fetal Echo…",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-cardiology/dr-shatabdi-giri/,Yashoda Hospital Hitec City
Dr. Shikhar Kumar,"MBBS, MD (PGIMER Chandigarh), DM Medical Oncology (Tata Memorial Hospital, Mumbai), ECMO (European Certified Medical Oncologist)",Consultant Medical Oncologist,13 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/medical-oncology/dr-shikhar-kumar/,Yashoda Hospital Hitec City
Dr. Sindhura Mandava,"MD (DVL), FAM (USA)",Sr. Consultant Dermatologist & Aesthetics,14 Yrs,"English, Telugu, Hindi, Tamil, Kannada",Hitec City,Day time OPD: MON – SAT : 11:00 AM – 03:00 PM,"Clinical Dermatosurgery and Lasers, Anti Ageing Treatments, Hair Fall Treatments, Skin Rejuvenating Therapies, Acne Treatments, Non Invasive Procedures","Medi Facials, Hydra Facials, Skin Booster, Skin Lightening, Skin Tag & Warts Removal, Skin Biposy",https://www.yashodahospitals.com/doctor/hitec-city/dermatology/dr-sindhura-mandava/,Yashoda Hospital Hitec City
Dr. Somnath Gupta,"MBBS, DNB (Internal Medicine), MNAMS, MHSC (Diabetology), FIID (Infectious Diseases, Australia)CCRJD (Rheumatology), PGDED (Endocrinology & Diabetes – RCP, UK)",Sr. Consultant Physician & DiabetologyCLINICAL DIRECTOR,15 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM Evening OPD: MON – SAT : 4:00 PM – 5:30 PM,"General Medical Disorders, Diabetes, Rheumatological Diseases, Infectious Diseases, Allergy and Immunological Disorders","Handling of casualties & critically ill patients, Geriatric Care, Vast Clinical Experience in Handling ICU Patients, Adult Vaccination, Treatment and Management of, HIV",https://www.yashodahospitals.com/doctor/hitec-city/general-medicine/dr-somnath-gupta/,Yashoda Hospital Hitec City
Dr. Srinath,"MBBS, MD Accident and Emergency Medicine","Senior Consultant & Group Head, Department of Emergency Medicine",27 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/emergency-services/dr-srinath/,Yashoda Hospital Hitec City
Dr. Sruthi Kola,"MD, DM Neurology, PDF Movement Disorders","Consultant Neurologist, Consultant PDMDRC",16 Yrs,English and Telugu,Hitec City,Day time OPD: MON – SAT : 10AM – 4PM,"Movement Disorders, Deep Brain Stimulation (DBS) Surgery & post OP Programming, Botulinum Toxin Therapy (Dystonias, Hemifacial Spasm, Blepharospasm, Writers cramp, Spasticity, Migraines), Apomorphine …","Diagnosing and managing neurological disorders, including movement disorders, stroke, epilepsy, ataxias, cognitive disorders, migraine and neuropathies., Performed Deep Brain Stimulation (DBS) surgeri…",https://www.yashodahospitals.com/doctor/hitec-city/movement-disorders/dr-sruthi-kola/,Yashoda Hospital Hitec City
Dr. V Nagarjuna Maturu,"MD, DM (Pulmonary & Critical Care Medicine), FCCP (USA), FAPSR","Senior Consultant, Clinical and Interventional Pulmonology",19 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 11:00 AM – 05:00 PM,"Bronchoscopy and Endobronchial Ultrasonography (EBUS): Trained in both linear and radial EBUS, and has performed over 1000 bronchoscopies and 150 EBUS procedures., Medical thoracoscopy: Well-versed in…","Diagnostic Procedures , Bronchoalveolar lavage, Endobronchial biopsy, Transbronchial lung biopsy, Transbronchial cryo-lung biopsy, Endobronchial ultrasound-guided TBNA (Linear EBUS)",https://www.yashodahospitals.com/doctor/hitec-city/pulmonology/dr-v-nagarjuna-maturu/,Yashoda Hospital Hitec City
Dr. V Pratibh Prasad,"MBBS, DNB (Pulmonary Medicine), SCE-Resp Medicine (UK), Fellowship in Interventional Pulmonology",Consultant Clinical and Interventional Pulmonologist,10 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Obstructive Airway Diseases: Asthma, Allergy, COPD, Interstitial Lung Diseases, Respiratory Infections: Tuberculosis, Covid-19, Pneumonia, Interventional Pulmonology: Diagnostic and Therapeutic Bronch…","Pulmonology Outpatient and Inpatient Services, Advanced Pulmonary Function Tests, Advanced Sleep Diagnostics, Diagnostic Bronchoscopy, Medical Thoracoscopy, Linear and Radial EBUS",https://www.yashodahospitals.com/doctor/hitec-city/pulmonology/dr-v-pratibh-prasad/,Yashoda Hospital Hitec City
Dr. V. Rajasekhar,"MD, DM","Senior Consultant Interventional Cardiology & Electrophysiology, Certified Proctor For TAVR & Clinical Director",30 Yrs,"English, Telugu, Hindi",Hitec City,Day time OPD: MON – FRI : 09:00 AM – 05:00 PM SAT : 09:00 AM – 01:00 PM,"Complex Coronary and Aortic Interventions, Transcatheter Valve Interventions","Clinical Cardiology and Risk Management , Interventional Cardiology, including Complex Coronary Interventions like Left Main Stent, CTO, Bifurcation Stenting, Graft Stenting, ECMO Supported Interventi…",https://www.yashodahospitals.com/doctor/hitec-city/cardiology/dr-v-rajasekhar/,Yashoda Hospital Hitec City
Dr. Vamsikrishna,"M.S., Dr.NB (Neuro Surgery), Fellowship in Neuro Oncology & Skull Base Neurosurgeon",Consultant Neurosurgeon,6 Yrs,"Hindi, English, Telugu & Kannada",Hitec City,Day time OPD: MON-SAT : 09:00 AM – 05:00 PM,"Complex Brain and Spine surgeries, Neuro-oncology and Skull base surgery, Minimally Invasive Spine Procedures, Spine Instrumentation & Reconstruction, Neurotrauma Management & Critical care, Endoscopi…","Brain Tumor Surgery , Brain and Spine Trauma surgery , Cerebrovascular Surgery, Minimally Invasive Spine Surgery , Endoscopic Spine Surgery , Endoscopic Brain Surgery",https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-vamsikrishna/,Yashoda Hospital Hitec City
Dr. Venkat Raman Kola,"MD, DNB, IDCCM, EDIC",Clinical Director,19 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 04:00 PM,"Infectious Diseases, Sepsis, Haemodynamics , MICU, ICCU, SICU & CTICU, Emergency & Trauma, Respiratory ICU","Percutaneous Tracheostomy, Central Venous, Arterial Access, Intra Venous Pacing, ICD, Chest Tube Insertion, Suprapubic Cystostomy, Difficult Airway Management",https://www.yashodahospitals.com/doctor/hitec-city/critical-care/dr-venkat-raman-kola/,Yashoda Hospital Hitec City
Dr. Venkata Swamy Pasupula,"MBBS, DM (Neurology)",Consultant Neurologist and Epileptologist,25 Yrs,"Telugu, English & Hindi",Hitec City,Day time OPD: MON – SAT : Not Available,"Epilepsy, Paediatric Epilepsy, Stroke, Movement Disorders, Neuroimmunology, Electrophysiological Studies","General Neurology, Stroke, Video EEG, SEEG, Epilepsy Management (Medical & Surgical), Intraoperative Monitoring (ECOG, MEP & SSEP)",https://www.yashodahospitals.com/doctor/hitec-city/neurology/dr-venkata-swamy-pasupula/,Yashoda Hospital Hitec City
Dr. Vennela Devarapalli,"MBBS, MD (Internal Medicine), Fellowship in Diabetology (CMC Vellore)",Consultant Physician,11 Yrs,"Telugu, English, Tamil, Hindi, Kannada",Hitec City,Day time OPD: MON – SAT : 11:00 AM – 07:00 PM,"Diabetes, Hypertension, Thyroid Disorders, Infectious Diseases, Pregnancy Related Medical Disorders","ICU Patient Care, Vaccination, Management of:, Diabetes, Hypertension, Dyslipidemia",https://www.yashodahospitals.com/doctor/hitec-city/general-medicine/dr-vennela-devarapalli/,Yashoda Hospital Hitec City
Dr. Venuthurla Ram Mohan Reddy,"MBBS, MS, MSc, FRCS (Ed), FRCS (Orth), CCT",Senior Consultant Orthopaedic Surgeon,31 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,Services info not available,https://www.yashodahospitals.com/doctor/hitec-city/orthopaedics/dr-venuthurla-ram-mohan-reddy/,Yashoda Hospital Hitec City
Dr. Vidya Tickoo,"MBBS, DNB (Internal Medicine), DNB (Endocrinology) – Gold Medalist",Consultant Endocrinologist & Diabetologist,8 Yrs,"Hindi, English, Telugu, Kashmiri",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Diabetes Mellitus, Neuroendocrinology, Metabolic Syndrome & Obesity, Thyroid Disorders","Obesity, Thyroid Disorders, Hypertension, PCOD, Paediatric Disorders (Short Stature, Pubertal Disorders), Obstetric Disorders (Gestational Diabetes & Thyroid Disorders in Pregnancy)",https://www.yashodahospitals.com/doctor/hitec-city/endocrinology/dr-vidya-tickoo/,Yashoda Hospital Hitec City
Dr. Vijaykumar C Bada,"MBBS, MS, DrNB (Surgical Gastroenterology) FMAS, FAIS, FIAGES, FACRS.","Sr. Consultant Surgical Gastroenterology, HPB, Bariatric & Robotic Sciences. Clinical Director",18 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 05:00 PM,"Advanced Laparoscopic & Robotic Surgery, Liver & Pancreatic Shunts, GI Oncosurgery (Robotics), HPB Cancers, Esophageal Cancer, Management of Corrosive Injuries","Surgical Gastroenterology, HPB Surgery (Liver & Pancreas), GI Oncosurgery, Colorectal Surgery, Proctology and Complex Fistula , Bariatric Surgery",https://www.yashodahospitals.com/doctor/hitec-city/robotic-sciences/dr-vijaykumar-bada/,Yashoda Hospital Hitec City
Dr. Vikram Reddy Aerra,"MS (PGI), MCh (AIIMS), FRCSEd, FRCSEd (CTh)",Sr. Consultant Cardiothoracic SurgeonClinical Director,24 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Off Pump Coronary Artery Bypass Grafting, Valve Repairs, Minimally Invasive Cardiac Surgery, Aortic Aneurysm Surgery, Aortic Root Replacement, Aortic Arch Surgery","Surgery for Ischemic Heart Disease, Off Pump CABG, CABG + Ischemic Mitral Valve Repairs, CABG + Ischemic VSD Repairs, Surgery for Heart Valve Diseases, Mitral Valve Replacement/Repairs",https://www.yashodahospitals.com/doctor/hitec-city/ct-surgery/dr-vikram-reddy/,Yashoda Hospital Hitec City
Dr. Yeshwanth Paidimarri,"MD, DM(Neurology), SCE(UK)",Consultant Neurologist,16 Yrs,"English, Hindi, and Telugu",Hitec City,Day time OPD: MON-SAT : 09:00 AM – 04:00 PM,"Neuroimmunology, Movement disorders","Expertise in Comprehensive and Primary Stroke Management, , Neuroimmunology including Multiple Sclerosis, Neuromyelitis Optica and Autoimmune Epilepsies., Pre DBS Workup and BOTOX injections., Evaluat…",https://www.yashodahospitals.com/doctor/hitec-city/neurology/dr-yeshwanth-paidimarri/,Yashoda Hospital Hitec City
Ms Premalatha Errolla,"M.Ed. Special Education, MR (NIMH) MA Psychology",Visual Rehabilitation Specialist & Special Educator,8 Yrs,"Telugu, Hindi and English",Hitec City,Day time OPD: Mon – Sat : 9 AM to 4 PM,"Knowledge of early child development and disabilities, Assessment and individualised planning (IFSP/IEP), Early intervention strategies and play-based learning, Behavior management and positive suppo…","Vision Rehabilitation    , Special Education, Early Teaching (early intervention), Intervention for learning difficulties, ALDS",https://www.yashodahospitals.com/doctor/hitec-city/child-development-center/ms-premalatha-errolla/,Yashoda Hospital Hitec City
Ms Punya M,"MA Psychology, BED Intellectual Disability, PG Dip. in Rehabilitation Psychology. B.Sc. Microbiology",Counselling Psychologist & Special Educator,11 Yrs,"English, Hindi, and Telugu",Hitec City,Day time OPD: Mon – Sat :  9 AM – 6 PM,"Parental & Student Counselling: Guiding families through emotional and practical challenges with empathy and actionable strategies., Custom Therapy Plans: Designing tailored intervention…","Individualised Education Programmes (IEPs): Custom plans with goals, accommodations, and progress tracking., Behaviour Therapy (ABA): Positive reinforcement to reduce challenges and teac…",https://www.yashodahospitals.com/doctor/hitec-city/child-development-center/ms-punya-m/,Yashoda Hospital Hitec City
Prof. Dr. Rupam Borgohain,DM (Neurology),Senior Consultant Neurologist and Programme Director-PDMDRC,41 Yrs,"English, Hindi, Telugu, Assamese",Hitec City,Day time OPD: MON – SAT : 10AM – 4PM,"Movement Disorder Specialist, Expertise in Deep Brain Stimulation, Botulinum toxin Injection for various disease like Writers cramp, Dystonia (Cervical, Oromandibular, dysphonia), Hemi facial spasm, s…","Treatment for all Movement Disorders, Deep Brain Stimulation, Botulinum Toxin Injection",https://www.yashodahospitals.com/doctor/hitec-city/movement-disorders/dr-rupam-borgohain/,Yashoda Hospital Hitec City
Ravindra Reddy Kunduru,"PG Human Genetics, PGD Genetic Counselling, BGCI-Certified Counsellor",Genetic Counsellor,10 Yrs,"English, Hindi & Telugu",Hitec CityMalakpetSecunderabadSomajiguda,Day time OPD: MON – SAT : Not Available,"Cancer Genetics, Reproductive Genetics, Premarital Genetic Counselling and Reproductive Genetics, Prenatal & Preimplantation Genetic Diagnosis","Cancer Genetics, Paediatric Genetics, Adult Genetics, Premarital Genetic Counselling and Reproductive Genetics, Prenatal & Preimplantation Genetic Diagnosis, Risk Evaluation & Risk Management Advice (…",https://www.yashodahospitals.com/doctor/malakpet/clinical-genetics/ravindra-reddy-kunduru/,Yashoda Hospital Hitec City
Dr Amulya Mysore,"MBBS, DCH, DNB (Pediatrics), MNAMS, Master’s in Child Development",Senior Consultant-Pediatrician & Development Specialist,13 Yrs,"English, Telugu, Hindi, Kannada, Marathi",Hitec City,Day time OPD: MON-SAT : 09:00 AM – 4:00 PM,"Child development, Behavioural issues, Autism, ADHD, Communication delay","Comprehensive developmental assessments, Autism & ADHD evaluation and management, Early intervention planning, High-risk baby developmental follow-up, Behavioural counselling and parent guidance, Work…",https://www.yashodahospitals.com/doctor/hitec-city/child-development-center/dr-amulya-mysore/,Yashoda Hospital Hitec City
Dr Damodhar Reddy Gouni,"MBBS, MD(Gen. Medicine), DM(Cardiology)",Consultant Interventional Cardiologist,11 Yrs,"English, Telugu, Hindi, Malayalam",Hitec City,Day time OPD: MON – SAT : 10:00 AM – 4:00 PM,"Image Guided Angioplasty, Chronic Total Occlusions (CTO Intervention), Protected PTCA (IABP/ECMO/Impella Assisted PTCA), TAVR, CHIP PTCA, Rota/Lithotripsy Assisted PTCA","Coronary Angiogram, Graft Angiogram, Carotid Angiogram, Peripheral Angiogram, Primary Percutaneous Coronary Intervention, Chronic Total Occlusion",https://www.yashodahospitals.com/doctor/hitec-city/cardiology/dr-damodhar-reddy-gouni/,Yashoda Hospital Hitec City
Dr Debnarayan Dutta,"MBBS, MD, PhD (Radiotherapy)",Sr. Consultant Radiation Oncologist Clinical Director,19 Yrs,"English, Hindi & Bangla",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Radiosurgery, Stereotactic Body Radiation Therapy (SBRT), Neurooncology, Head & Neck Cancer","MR Linac Radiosurgery, Radiation therapy, IMRT, IGRT, Conventional Radiation Therapy",https://www.yashodahospitals.com/doctor/hitec-city/radiation-oncology/dr-debnarayan-dutta/,Yashoda Hospital Hitec City
Dr Gyanaranjan Nayak,"MBBS, MS, DNB, FACS",Sr Consultant ENT & Cochlear Implant SurgeonSkull Base & Head-Neck SurgeonEx-Associate Professor (PGIMER Chandigarh),10 Yrs,"English, Hindi & Oriya",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Cochlear Implant and Implantation Otology and Auditory Brainstem Implant, Pediatric ENT, Airway Reconstruction in laryngo-tracheal stenosis, Vestibular Disorders (Vertigo and Dizziness), Thyroid and P…","Ear Surgeries, Tympanoplasty, Myringoplasty, Grommet Insertion, Mastoidectomy, Stapedotomy",https://www.yashodahospitals.com/doctor/hitec-city/ent/dr-gyanaranjan-nayak/,Yashoda Hospital Hitec City
Dr Indira Brundavanam,"MPT (NIMS), BPT",Sr Paediatric Physiotherapist,12 Yrs,"English, Telugu and Hindi",Hitec City,Day time OPD: MON-SAT : 10:00 AM – 4:00 PM,Expertise info not available,"Perform extensive patient evaluation- in neuromuscular conditions and pre-botox evaluation, One of the few physiotherapists in India to be certified and trained in evaluating children with spinal musc…",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-physiotherapy/dr-indira-brundavanam/,Yashoda Hospital Hitec City
Dr Jagadish Polavarapu,"MBBS (Osmania); MD Internal Medicine (Osmania).  DM (Gastroenterology) CMC Vellore, ESEGH (UK)",Consultant Gastroenterologist & Hepatologist Bariatric Endoscopist,10 Yrs,"Telugu, English, Hindi, Tamil",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Endobariatrics: Intragastric Balloon placement, Endoscopic Sleeve Gastroplasty, Advanced endoscopic techniques – Magnification Endoscopy, ERCP & EUS, Diagnostic and therapeutic UGI endoscopy and col…","Comprehensive Obesity Management, Management of Pancreatitis, Chronic Liver disease, Management of Hepatitis, Fatty Liver and Inflammatory Bowel Disease, Plasma exchange for Liver failure",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-jagadish-polavarapu/,Yashoda Hospital Hitec City
Dr Jyoti Lal Das,"MASLP (MERF, TNMGRMU); ASLP (SARS, OU). MSc Psychology | MBA-HHCM",Consultant Audiologist & Speech Therapist (Swallowing Specialist),13 Yrs,"English, Hindi, Telugu, Nepali, Bhojpuri & Maithili",Hitec City,Day time OPD: MON – SAT : Not Available,Expertise info not available,"AUDIOLOGY, Early Hearing Detection & Intervention (EHDI), Universal Newborn Hearing Screening (OAE, AABR), High-risk infant screening (NICU/PICU), Early identification and intervention p…",https://www.yashodahospitals.com/doctor/hitec-city/child-development-center/dr-jyoti-lal-das/,Yashoda Hospital Hitec City
Dr Krishna Bharadwaj Pegatraju,"MD (Medicine), DM (Gastroenterology – CMC, Vellore), ESEGH (UK)","Consultant Gastroenterologist, Pancreatologist and Advanced Endoscopist",9 Yrs,"Telugu, English, Hindi and Tamil",Hitec City,Day time OPD: MON-SAT : 10:00 AM – 4:00 PM,"Pancreatic disorders, Post-ERCP Pancreatitis, Severe acute pancreatitis, including biomarkers for prognosis & prediction, Advanced endoscopic techniques: Magnification Endoscopy, ERCP & EUS, Diagnosti…","Management of Acute and Chronic Pancreatitis, Chronic Liver disease, Hepatitis, Fatty Liver and Inflammatory Bowel Disease, Plasma exchange for Liver failure, Gas and Bloating",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-krishna-bharadwaj-pegatraju/,Yashoda Hospital Hitec City
Dr L. Harish Rao,"MBBS, MD (Pulmonary Medicine)",Consultant Clinical & Interventional Pulmonologist,10 Yrs,"English, Telugu, Hindi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,"Basic  Pulmonology OPD & IPD Services, Respiratory Infections ( Pneumonia, Tuberculosis, Covid 19), Interstitial lung diseases evaluation & management, Expert-level Asthma Care, Chronic Obstructive Pu…",https://www.yashodahospitals.com/doctor/hitec-city/pulmonology/dr-l-harish-rao/,Yashoda Hospital Hitec City
Dr Mahesh Kota,"MD, IDCCM, DNB (Nephro)",Consultant Nephrologist,8 Yrs,"Telugu, Tamil and English",Hitec City,Day time OPD: MON – SAT  : 09:00 AM – 4:00 PM,"Critical Care Nephrology, Onco Nephrology","Evaluation and Management of Acute and Chronic Kidney Diseases, Evaluation and Management of Rapidly Progressive Renal Failure , Screening for Kidney Diseases, Management of Patients with Renal Involv…",https://www.yashodahospitals.com/doctor/hitec-city/nephrology/dr-mahesh-kota/,Yashoda Hospital Hitec City
